city_development_index,relevent_experience,enrolled_university,education_level,major_discipline,experience,last_new_job,training_hours,training_hours_log,target
0.92,1,0,0.0,0,0,0,36,3.6109179126442243,1.0
0.7759999999999999,0,0,0.0,0,3,1,47,3.871201010907891,0.0
0.624,0,1,0.0,0,1,3,83,4.430816798843313,0.0
0.789,0,0,0.0,3,3,3,52,3.970291913552122,1.0
0.767,1,0,1.0,0,0,3,8,2.1972245773362196,0.0
0.764,1,2,0.0,0,3,0,24,3.2188758248682006,1.0
0.92,1,0,2.0,2,1,0,24,3.2188758248682006,0.0
0.762,1,0,0.0,0,3,1,18,2.9444389791664403,1.0
0.92,1,0,0.0,0,3,0,46,3.8501476017100584,1.0
0.92,1,0,0.0,0,3,1,123,4.820281565605037,0.0
0.624,0,1,2.0,2,3,3,32,3.4965075614664802,1.0
0.92,1,0,0.0,0,1,0,108,4.6913478822291435,0.0
0.913,1,0,0.0,0,0,3,23,3.1780538303479458,0.0
0.624,0,0,0.0,2,3,3,24,3.2188758248682006,0.0
0.624,0,1,2.0,2,1,3,26,3.295836866004329,0.0
0.926,1,0,0.0,0,3,1,18,2.9444389791664403,0.0
0.92,1,0,0.0,0,3,3,106,4.672828834461906,0.0
0.624,1,0,0.0,0,3,2,7,2.0794415416798357,0.0
0.624,1,0,0.0,0,3,3,23,3.1780538303479458,1.0
0.8270000000000001,1,0,0.0,4,2,0,132,4.890349128221754,1.0
0.843,1,0,1.0,0,3,0,68,4.23410650459726,0.0
0.926,1,0,1.0,0,3,2,50,3.9318256327243257,0.0
0.804,1,0,1.0,0,3,0,48,3.8918202981106265,0.0
0.7759999999999999,1,0,0.0,1,3,0,65,4.189654742026425,0.0
0.624,1,0,0.0,0,1,0,13,2.6390573296152584,0.0
0.855,0,0,2.0,2,2,3,22,3.1354942159291497,0.0
0.624,1,2,0.0,0,3,0,148,5.003946305945459,1.0
0.92,1,0,0.0,4,1,2,72,4.290459441148391,0.0
0.887,1,0,2.0,2,3,0,8,2.1972245773362196,1.0
0.624,1,0,0.0,0,3,2,68,4.23410650459726,1.0
0.92,1,0,0.0,0,0,3,40,3.713572066704308,0.0
0.92,1,2,0.0,0,3,1,141,4.955827057601261,0.0
0.92,0,1,0.0,0,1,0,24,3.2188758248682006,0.0
0.92,1,0,0.0,0,0,1,82,4.418840607796598,0.0
0.91,1,0,0.0,3,3,3,145,4.983606621708336,0.0
0.92,1,0,0.0,0,3,2,206,5.332718793265369,0.0
0.926,0,2,2.0,2,3,0,152,5.030437921392435,0.0
0.926,1,0,4.0,0,0,3,42,3.7612001156935624,1.0
0.92,0,0,0.0,0,3,3,50,3.9318256327243257,0.0
0.884,0,0,0.0,2,3,3,106,4.672828834461906,0.0
0.926,1,1,1.0,0,3,2,14,2.70805020110221,0.0
0.924,1,0,2.0,2,2,2,36,3.6109179126442243,0.0
0.624,1,0,1.0,0,3,0,112,4.727387818712341,1.0
0.6659999999999999,0,0,0.0,5,3,3,108,4.6913478822291435,0.0
0.624,1,2,1.0,0,3,3,7,2.0794415416798357,1.0
0.624,0,1,1.0,0,1,3,26,3.295836866004329,1.0
0.624,1,0,0.0,0,1,3,87,4.477336814478207,1.0
0.92,1,0,0.0,0,3,3,52,3.970291913552122,1.0
0.5579999999999999,1,0,0.0,5,3,1,20,3.044522437723423,1.0
0.923,1,0,0.0,0,3,0,21,3.091042453358316,0.0
0.5579999999999999,0,0,0.0,0,2,0,92,4.532599493153256,1.0
0.6659999999999999,1,0,0.0,0,3,2,102,4.634728988229636,0.0
0.794,0,0,0.0,1,1,1,26,3.295836866004329,0.0
0.924,1,0,1.0,0,3,2,7,2.0794415416798357,0.0
0.926,0,1,2.0,2,2,0,43,3.784189633918261,0.0
0.924,1,0,0.0,0,0,0,45,3.828641396489095,0.0
0.754,1,1,0.0,0,3,2,52,3.970291913552122,0.0
0.92,1,0,0.0,0,0,2,19,2.995732273553991,0.0
0.624,1,1,0.0,0,3,3,32,3.4965075614664802,1.0
0.767,1,0,0.0,1,0,1,26,3.295836866004329,1.0
0.855,1,2,0.0,0,3,0,90,4.51085950651685,0.0
0.939,1,0,0.0,0,3,3,25,3.258096538021482,0.0
0.8270000000000001,1,0,1.0,0,3,0,15,2.772588722239781,0.0
0.887,1,0,1.0,1,0,1,48,3.8918202981106265,0.0
0.55,0,1,2.0,2,3,3,98,4.59511985013459,0.0
0.865,1,0,0.0,0,3,2,142,4.962844630259907,1.0
0.855,0,0,1.0,1,2,3,13,2.6390573296152584,0.0
0.91,1,0,0.0,0,3,1,47,3.871201010907891,0.0
0.91,1,0,1.0,1,3,0,28,3.367295829986474,0.0
0.698,0,0,0.0,2,3,3,228,5.43372200355424,1.0
0.6659999999999999,1,0,0.0,0,0,3,22,3.1354942159291497,0.0
0.624,0,1,0.0,0,3,3,18,2.9444389791664403,1.0
0.8270000000000001,1,0,0.0,0,3,0,29,3.4011973816621555,0.0
0.855,1,0,1.0,0,1,0,46,3.8501476017100584,0.0
0.55,0,1,0.0,0,3,3,12,2.5649493574615367,0.0
0.92,1,0,0.0,0,1,2,17,2.8903717578961645,0.0
0.893,1,0,1.0,0,1,2,65,4.189654742026425,0.0
0.92,0,0,0.0,1,3,0,35,3.58351893845611,0.0
0.855,0,1,0.0,0,3,3,14,2.70805020110221,0.0
0.92,1,0,1.0,0,3,0,4,1.6094379124341003,0.0
0.92,1,0,0.0,0,3,1,12,2.5649493574615367,0.0
0.92,1,0,0.0,0,0,2,108,4.6913478822291435,0.0
0.92,0,0,0.0,0,0,0,136,4.919980925828125,0.0
0.92,1,0,0.0,0,1,0,27,3.332204510175204,0.0
0.7959999999999999,1,2,1.0,0,2,0,74,4.31748811353631,0.0
0.884,1,0,0.0,0,3,0,86,4.465908118654584,0.0
0.866,0,2,0.0,0,3,2,83,4.430816798843313,0.0
0.92,0,1,2.0,2,2,3,75,4.330733340286331,0.0
0.698,0,1,1.0,0,3,2,42,3.7612001156935624,0.0
0.92,1,0,0.0,0,3,0,332,5.808142489980444,0.0
0.913,0,1,0.0,0,2,3,140,4.948759890378168,0.0
0.91,0,0,2.0,2,3,3,182,5.209486152841421,0.0
0.92,0,0,0.0,1,3,0,13,2.6390573296152584,1.0
0.682,1,0,0.0,0,1,2,172,5.153291594497779,1.0
0.92,1,0,0.0,0,3,0,48,3.8918202981106265,0.0
0.802,1,1,0.0,0,3,0,33,3.5263605246161616,0.0
0.92,0,1,2.0,2,3,0,142,4.962844630259907,0.0
0.579,0,1,0.0,0,3,0,34,3.5553480614894135,0.0
0.802,1,0,0.0,0,3,2,14,2.70805020110221,1.0
0.55,1,0,0.0,0,3,2,27,3.332204510175204,1.0
0.55,1,0,0.0,0,3,0,24,3.2188758248682006,1.0
0.878,0,0,1.0,0,0,0,150,5.017279836814924,0.0
0.92,1,0,0.0,0,3,1,20,3.044522437723423,0.0
0.92,1,0,0.0,0,1,0,140,4.948759890378168,0.0
0.91,1,0,0.0,0,3,0,52,3.970291913552122,0.0
0.939,1,0,0.0,0,0,2,160,5.081404364984463,0.0
0.897,1,0,1.0,0,3,2,3,1.3862943611198906,0.0
0.624,1,0,0.0,0,3,2,2,1.0986122886681098,1.0
0.91,1,0,0.0,0,0,1,28,3.367295829986474,0.0
0.754,1,0,0.0,2,0,3,46,3.8501476017100584,0.0
0.855,1,0,0.0,0,3,0,210,5.351858133476067,0.0
0.926,1,0,0.0,0,3,0,36,3.6109179126442243,0.0
0.949,0,1,0.0,0,2,0,160,5.081404364984463,1.0
0.624,1,1,0.0,0,3,2,101,4.624972813284271,0.0
0.926,1,0,1.0,0,3,0,46,3.8501476017100584,0.0
0.925,1,0,0.0,0,0,1,19,2.995732273553991,0.0
0.624,1,0,0.0,0,3,2,26,3.295836866004329,1.0
0.698,1,1,0.0,0,3,0,90,4.51085950651685,0.0
0.8959999999999999,1,0,0.0,0,3,3,59,4.0943445622221,0.0
0.92,1,2,0.0,3,3,0,260,5.564520407322694,0.0
0.624,1,0,0.0,0,3,1,74,4.31748811353631,0.0
0.91,1,0,4.0,0,0,2,20,3.044522437723423,1.0
0.878,1,0,0.0,0,3,2,8,2.1972245773362196,0.0
0.92,1,0,0.0,0,3,0,131,4.882801922586371,0.0
0.836,1,1,1.0,0,3,0,45,3.828641396489095,0.0
0.693,1,1,0.0,0,3,2,109,4.700480365792417,0.0
0.855,1,0,0.0,1,3,0,70,4.2626798770413155,0.0
0.92,1,0,0.0,0,0,1,17,2.8903717578961645,0.0
0.92,0,0,1.0,0,3,0,51,3.9512437185814275,0.0
0.92,1,0,0.0,0,3,3,60,4.110873864173311,1.0
0.893,0,0,4.0,0,0,1,4,1.6094379124341003,0.0
0.926,0,0,0.0,0,3,1,7,2.0794415416798357,0.0
0.804,1,0,1.0,0,0,3,164,5.10594547390058,0.0
0.6659999999999999,1,0,0.0,0,3,3,290,5.673323267171493,0.0
0.804,0,0,2.0,2,3,3,145,4.983606621708336,0.0
0.92,0,0,4.0,0,3,3,70,4.2626798770413155,0.0
0.624,0,0,0.0,2,3,0,24,3.2188758248682006,0.0
0.92,0,0,1.0,1,3,0,133,4.897839799950911,1.0
0.55,0,1,0.0,0,3,0,20,3.044522437723423,0.0
0.92,1,0,0.0,0,3,0,76,4.343805421853684,0.0
0.698,0,1,1.0,0,1,3,21,3.091042453358316,1.0
0.624,1,0,0.0,2,3,2,34,3.5553480614894135,0.0
0.92,0,0,0.0,0,3,2,15,2.772588722239781,0.0
0.866,0,0,0.0,0,0,1,156,5.056245805348308,0.0
0.92,1,0,0.0,0,0,1,15,2.772588722239781,0.0
0.926,1,0,1.0,0,0,3,120,4.795790545596741,0.0
0.769,1,0,0.0,5,3,1,47,3.871201010907891,0.0
0.754,1,0,0.0,0,3,2,100,4.61512051684126,1.0
0.855,1,2,0.0,0,3,3,102,4.634728988229636,0.0
0.92,0,0,2.0,2,2,3,52,3.970291913552122,0.0
0.926,1,0,2.0,2,3,3,39,3.6888794541139363,0.0
0.92,1,1,2.0,2,2,0,112,4.727387818712341,1.0
0.92,0,0,4.0,0,0,1,14,2.70805020110221,0.0
0.91,1,0,0.0,2,3,0,4,1.6094379124341003,0.0
0.91,1,0,1.0,4,0,1,55,4.02535169073515,0.0
0.624,1,0,0.0,0,3,3,49,3.912023005428146,1.0
0.91,1,0,0.0,0,3,1,72,4.290459441148391,0.0
0.925,1,1,0.0,0,3,3,141,4.955827057601261,1.0
0.926,0,0,2.0,2,3,3,28,3.367295829986474,0.0
0.92,1,0,0.0,0,3,0,6,1.9459101490553132,0.0
0.92,1,0,0.0,5,3,0,125,4.836281906951478,0.0
0.939,1,0,0.0,0,0,3,326,5.7899601708972535,0.0
0.92,1,0,0.0,2,0,2,33,3.5263605246161616,0.0
0.804,0,0,1.0,0,3,1,40,3.713572066704308,0.0
0.92,1,0,0.0,0,3,0,198,5.293304824724492,1.0
0.92,1,0,1.0,0,3,1,55,4.02535169073515,0.0
0.698,0,0,0.0,0,0,1,32,3.4965075614664802,0.0
0.92,1,0,0.0,4,0,1,11,2.4849066497880004,0.0
0.754,1,0,0.0,0,0,0,41,3.7376696182833684,0.0
0.92,1,0,1.0,0,0,1,87,4.477336814478207,1.0
0.855,1,0,1.0,0,3,3,114,4.74493212836325,0.0
0.698,1,0,0.0,2,0,1,33,3.5263605246161616,0.0
0.698,1,2,1.0,0,1,0,15,2.772588722239781,0.0
0.91,0,1,2.0,2,3,0,8,2.1972245773362196,0.0
0.878,1,2,2.0,2,3,0,22,3.1354942159291497,0.0
0.92,1,0,1.0,0,0,3,13,2.6390573296152584,0.0
0.949,1,0,0.0,0,0,0,246,5.5093883366279774,0.0
0.92,1,0,1.0,0,3,0,22,3.1354942159291497,0.0
0.92,1,0,1.0,0,0,0,81,4.406719247264253,0.0
0.7759999999999999,1,1,0.0,0,2,0,11,2.4849066497880004,0.0
0.698,0,1,0.0,0,1,3,24,3.2188758248682006,1.0
0.92,1,0,0.0,0,0,0,50,3.9318256327243257,0.0
0.924,0,1,2.0,2,3,3,15,2.772588722239781,0.0
0.939,1,0,1.0,0,0,1,31,3.4657359027997265,0.0
0.926,1,0,1.0,0,0,3,84,4.442651256490317,0.0
0.897,1,2,0.0,0,2,0,42,3.7612001156935624,0.0
0.624,1,0,0.0,0,3,1,105,4.663439094112067,1.0
0.92,1,0,0.0,0,0,1,72,4.290459441148391,0.0
0.789,1,0,0.0,0,3,1,42,3.7612001156935624,1.0
0.698,1,0,0.0,0,3,0,152,5.030437921392435,0.0
0.92,1,0,0.0,0,3,0,60,4.110873864173311,0.0
0.624,0,1,1.0,0,3,3,8,2.1972245773362196,0.0
0.91,0,1,1.0,0,3,3,17,2.8903717578961645,1.0
0.923,0,0,2.0,2,3,0,33,3.5263605246161616,0.0
0.91,1,0,1.0,0,2,3,38,3.6635616461296463,0.0
0.92,1,0,0.0,1,3,2,178,5.187385805840755,0.0
0.92,1,0,0.0,0,3,0,11,2.4849066497880004,0.0
0.893,1,0,2.0,2,0,3,87,4.477336814478207,0.0
0.802,1,0,0.0,0,3,3,84,4.442651256490317,0.0
0.884,1,0,0.0,0,0,2,32,3.4965075614664802,0.0
0.887,1,0,1.0,0,3,0,31,3.4657359027997265,1.0
0.624,0,0,0.0,0,3,0,39,3.6888794541139363,0.0
0.775,1,0,0.0,0,3,0,12,2.5649493574615367,0.0
0.624,1,1,0.0,0,1,0,50,3.9318256327243257,0.0
0.903,1,0,0.0,0,3,0,55,4.02535169073515,1.0
0.55,1,0,0.0,0,1,3,7,2.0794415416798357,1.0
0.92,1,0,1.0,1,3,0,104,4.653960350157523,0.0
0.92,1,1,0.0,3,0,1,90,4.51085950651685,1.0
0.92,1,0,1.0,2,0,1,8,2.1972245773362196,0.0
0.624,0,1,0.0,0,3,3,102,4.634728988229636,0.0
0.624,1,0,1.0,0,3,0,202,5.313205979041787,1.0
0.555,1,0,0.0,0,2,0,22,3.1354942159291497,0.0
0.624,0,1,0.0,0,3,3,42,3.7612001156935624,0.0
0.92,0,0,,2,2,3,50,3.9318256327243257,0.0
0.624,1,0,1.0,0,3,0,88,4.48863636973214,0.0
